GENES	XTAIL	BABEL	RIBOREX	RIBODIFF
SDHA	NA	NA	0.02703112	NA
SDHAP1	NA	0.039272984	NA	NA
SDHB	NA	NA	0.01782707	NA
SEC14L1P1	NA	0.020731736	NA	NA
SEMA3C	NA	0.081241898	NA	NA
SENP3	NA	7.29E-05	NA	NA
SENP6	NA	NA	0.008945711	0.016510997
SERINC4	NA	0.029588615	NA	NA
SETD2	NA	NA	0.005798613	0.013034731
SETD5	NA	NA	0.03569565	NA
SETX	NA	0.08040225	NA	NA
SGOL2	NA	0.081255483	NA	NA
SH3BP5-AS1	NA	0.044261433	NA	NA
SHISA8	NA	0.048181796	NA	NA
SHPRH	NA	0.072925061	0.004427004	0.008345263
SIRPB1	NA	0.012363502	NA	NA
SIVA1	NA	0.002860169	NA	NA
SLC25A25-AS1	NA	0.000138021	NA	NA
SLC25A37	NA	NA	0.01759527	0.023412164
SLC25A6	NA	3.54E-06	NA	NA
SLC2A13	NA	0.05906026	NA	NA
SLC2A14	NA	0.093799269	NA	NA
SLC30A9	NA	NA	0.03206742	0.048174213
SLC35A4	NA	NA	0.01826155	0.028592461
SLC39A4	NA	0.021068011	NA	NA
SLMAP	NA	NA	0.001117751	0.003287803
SLTM	NA	NA	0.000813908	0.002316823
SMARCA5	NA	0.048423303	NA	NA
SMARCAD1	NA	0.091746517	NA	NA
SMC2	NA	0.056921484	NA	NA
SMC3	NA	0.004478402	NA	NA
SMC4	NA	0.07584992	NA	NA
SMC6	NA	0.053258929	NA	NA
SMCHD1	NA	0.089865854	0.01138369	0.018234355
SMCO4	NA	0.069892742	NA	NA
SMG1P1	NA	0.044726709	NA	NA
SMG1P3	NA	0.02715736	NA	NA
SMUG1	NA	NA	0.04237325	NA
SMURF2	NA	NA	0.0155858	0.025690269
SNCG	NA	NA	0.0155858	NA
SNHG1	NA	0.000145878	NA	NA
SNHG10	NA	0.011725649	NA	NA
SNHG11	NA	0.09686771	NA	NA
SNHG12	NA	0.00011815	NA	NA
SNHG15	NA	0.000194948	NA	NA
SNHG16	NA	6.6E-05	NA	NA
SNHG17	NA	0.001695757	NA	NA
SNHG20	NA	0.002705971	NA	NA
SNHG3	NA	0.000142974	NA	NA
SNHG4	NA	0.009162139	NA	NA
SNHG5	NA	7.8E-05	NA	NA
SNHG6	NA	0.000183305	NA	NA
SNHG7	NA	0.001318815	NA	NA
SNHG8	NA	0.00035991	NA	NA
SNN	NA	0.093513334	NA	NA
SNORD104	NA	0.072925061	NA	NA
SNORD22	NA	0.037857409	NA	NA
SNORD26	NA	0.089161205	NA	NA
SNORD35B	NA	0.070562592	NA	NA
SNORD42A	NA	0.067986351	NA	NA
SNORD50A	NA	0.073757737	NA	NA
SNORD52	NA	0.057565792	NA	NA
SNORD55	NA	0.019353057	NA	NA
SNORD58C	NA	0.095070437	NA	NA
SNORD79	NA	0.021576433	NA	NA
SNORD89	NA	0.004478402	NA	NA
SNORD95	NA	0.048991748	NA	NA
SNRNP200	NA	NA	0.03941818	NA
SNRNP40	NA	NA	0.04590252	NA
SNX12	NA	NA	0.001674271	0.008650515
SNX25	NA	NA	0.02942682	0.048470519
SOCS1	NA	0.000408087	0.04168388	NA
SOCS7	NA	0.095070437	0.03190574	NA
SOS1	NA	NA	0.000100742	0.00031419
SOS2	NA	NA	0.009998868	0.018840334
SPOPL	NA	NA	0.02804901	0.048174213
SPRY3	NA	0.012891716	NA	NA
SREK1	NA	NA	0.000149568	0.000514525
SRGAP2B	NA	0.002041394	NA	NA
SRP14-AS1	NA	0.043479773	NA	NA
SRSF3	NA	NA	0.02042818	0.048174213
SSB	NA	0.067073414	NA	NA
SSFA2	NA	NA	0.000359422	0.000703454
ST3GAL3	NA	NA	0.03254296	0.035550121
STAG1	NA	NA	0.04062599	NA
STAG2	NA	NA	0.001624458	0.00356891
STAG3L2	NA	0.0851494	NA	NA
STAG3L4	NA	0.093465442	NA	NA
STAG3L5P-PVRIG2P-PILRB	NA	0.005111072	NA	NA
STARD7-AS1	NA	0.011438428	NA	NA
STIP1	NA	NA	0.01157967	0.027806869
SUCO	NA	NA	0.01264687	0.021160473
SUFU	NA	NA	0.01180288	0.021762665
SUZ12	NA	NA	0.02104234	0.033871065
SWI5	NA	NA	0.0470342	NA
SYNJ2BP	NA	0.011725649	NA	NA
TAB2	NA	NA	0.04295706	NA
TAB3	NA	NA	0.03543583	NA
TACO1	NA	NA	0.002520728	0.013034731
TAF10	NA	0.05885532	0.03569565	NA
TAOK1	NA	NA	0.006034798	0.013018351
TAPT1-AS1	NA	0.049322884	NA	NA
TBL2	NA	NA	0.01574559	NA
TCONS_00029157	NA	0.009338189	NA	NA
THAP9-AS1	NA	0.00262738	NA	NA
THOC2	NA	NA	0.0155858	0.02495545
THUMPD3-AS1	NA	0.006518961	NA	NA
TIGD1	NA	0.009338189	NA	NA
TLK1	NA	NA	0.005665606	0.010839622
TLR9	NA	0.058642019	NA	NA
TM9SF4	NA	NA	0.007878056	0.027497867
TMEM110	NA	0.000190685	NA	NA
TMEM134	NA	0.068383203	NA	NA
TMEM147-AS1	NA	0.076342985	NA	NA
TMEM160	NA	0.031342158	NA	NA
TMEM198B	NA	0.028892746	NA	NA
TMEM199	NA	NA	0.007191583	0.020900209
TMEM238	NA	0.096948094	NA	NA
TMF1	NA	0.054619726	NA	NA
TMPO-AS1	NA	0.012363502	NA	NA
TNFSF12	NA	NA	0.02446826	0.026730658
TNRC6A	NA	NA	0.04988	NA
TNRC6C-AS1	NA	0.000367719	NA	NA
TOP1	NA	0.054644671	NA	NA
TOP2A	NA	0.075767568	NA	NA
TOPBP1	NA	NA	0.01050037	0.015533084
TOPORS	NA	NA	0.01438142	0.024621558
TP53TG1	NA	0.011267737	NA	NA
TP73-AS1	NA	0.000146618	NA	NA
TPD52L2	NA	NA	0.0450404	NA
TPM3P9	NA	0.00621905	NA	NA
TPR	NA	0.062752291	NA	NA
TRAF3IP2-AS1	NA	0.00376207	NA	NA
TRAF7	NA	NA	0.04447499	NA
TRAK2	NA	NA	0.007576777	0.014619935
TRAPPC3	NA	NA	0.02687744	NA
TRAPPC5	NA	0.011936241	NA	NA
TRG-AS1	NA	0.057148554	NA	NA
TRIM33	NA	NA	0.001674271	0.004973326
TRIM52-AS1	NA	0.073337521	NA	NA
TRIP11	NA	0.074516018	NA	NA
TROVE2	NA	0.050699692	NA	NA
TRPM7	NA	NA	0.00018427	0.000564433
TRUB2	NA	NA	0.03509787	NA
TTC14	NA	NA	0.01782707	0.027806869
TTC21B	NA	NA	0.0306365	0.043679793
TTC28-AS1	NA	0.011066595	NA	NA
TTC3	NA	NA	0.00035128	0.000952656
TTC37	NA	0.099099756	0.01807041	0.028201414
TTC4	NA	7.29E-05	0.01275983	0.023412164
TTN	NA	0.001267285	NA	NA
TUBA4B	NA	0.061027801	NA	NA
TUG1	NA	7.29E-05	NA	NA
U2SURP	NA	NA	0.00404846	0.007528508
UBA1	NA	NA	0.03913579	NA
UBA6	NA	0.053661461	NA	NA
UBA6-AS1	NA	0.003028513	NA	NA
UBFD1	NA	NA	0.008881567	0.036594647
UBL5	NA	0.048091951	NA	NA
UBL7-AS1	NA	0.002428162	NA	NA
UBN2	NA	NA	0.007191583	0.015061137
UBTF	NA	NA	0.006499327	0.020900209
UCHL3	NA	0.094240613	NA	NA
UFL1	NA	0.08019176	NA	NA
UGGT2	NA	0.027902707	NA	NA
UHRF1BP1L	NA	0.095212745	0.001960997	0.00356891
UNC119B	NA	NA	0.04697569	NA
UQCRHL	NA	0.015273699	NA	NA
URI1	NA	NA	0.03239465	NA
USO1	NA	0.039803476	0.03634683	NA
USP15	NA	NA	0.04475774	NA
USP16	NA	NA	0.01025887	0.016270951
USP25	NA	NA	0.02927592	0.047289862
USP30-AS1	NA	0.003165645	NA	NA
USP34	NA	NA	6.91E-05	0.000308401
USP38	NA	NA	0.02048227	0.036594647
USP45	NA	NA	0.007306753	0.013034731
USP6	NA	0.04529819	NA	NA
USPL1	NA	NA	0.01526673	0.023601368
UTP14C	NA	NA	0.03074655	0.047289862
UTRN	NA	0.038776074	0.02104234	0.034771435
VAMP7	NA	0.000636912	NA	NA
VEZF1	NA	NA	0.02328285	0.048174213
VIM-AS1	NA	0.020340339	NA	NA
VPS13A	NA	0.002362485	0.02682046	0.042229555
VPS13C	NA	0.009321999	0.03245435	NA
VPS54	NA	NA	0.004139564	0.008345263
VRK2	NA	0.081999909	NA	NA
WAC	NA	NA	0.02042818	0.03882104
WAC-AS1	NA	0.001023093	NA	NA
WASH2P	NA	0.038709826	NA	NA
WASH3P	NA	0.074392389	NA	NA
WBSCR22	NA	NA	0.03770542	NA
WDHD1	NA	0.07086488	NA	NA
WDR17	NA	0.08040225	0.02471521	0.036594647
WDR77	NA	NA	0.0210365	0.047289862
WDR82	NA	NA	0.04500522	NA
WFDC21P	NA	0.057367183	NA	NA
WHAMMP3	NA	0.08940768	NA	NA
WHSC1L1	NA	NA	0.02048227	0.036829961
WIBG	NA	NA	0.02404715	NA
WWP1	NA	NA	0.02932974	0.047720799
YOD1	NA	NA	0.01386459	0.021614022
ZBED5-AS1	NA	0.010012949	NA	NA
ZBED6	NA	NA	0.005122552	0.010543555
ZBTB1	NA	NA	0.0112986	0.021762665
ZBTB11	NA	NA	0.02074544	0.036594647
ZBTB21	NA	NA	0.0306365	0.048174213
ZBTB41	NA	NA	0.000727059	0.001234656
ZBTB44	NA	NA	0.000203031	0.000625073
ZC3H11A	NA	NA	0.008945711	0.018234355
ZC3H13	NA	0.083578808	NA	NA
ZDHHC17	NA	NA	0.00069696	0.001127476
ZEB1	NA	NA	0.03207581	0.048710221
ZEB1-AS1	NA	0.049897523	NA	NA
ZFAS1	NA	6.6E-05	NA	NA
ZFC3H1	NA	0.015490067	0.000193201	0.000625073
ZFP41	NA	0.077704633	NA	NA
ZGRF1	NA	0.043471237	NA	NA
ZHX1	NA	NA	0.03254296	0.049285751
ZMAT1	NA	NA	0.000535372	0.001045278
ZMYM2	NA	NA	0.0306365	0.048174213
ZMYM4	NA	NA	0.02104234	0.039976523
ZMYM5	NA	NA	0.0476614	NA
ZNF117	NA	NA	0.0282614	0.048174213
ZNF146	NA	NA	0.009684495	0.017879375
ZNF148	NA	NA	0.01370977	0.024117247
ZNF23	NA	NA	0.003074391	0.004954689
ZNF252P	NA	0.007807234	NA	NA
ZNF260	NA	NA	0.03948172	NA
ZNF271P	NA	0.007048581	NA	NA
ZNF292	NA	0.006181202	0.01923461	0.032358205
ZNF296	NA	0.017396904	NA	NA
ZNF33A	NA	NA	0.04062599	NA
ZNF354A	NA	NA	0.02017109	0.028391015
ZNF37A	NA	NA	0.005693622	0.013034731
ZNF37BP	NA	0.016550362	NA	NA
ZNF431	NA	NA	0.01826428	0.02495545
ZNF518A	NA	NA	0.001960997	0.003883762
ZNF525	NA	0.032799675	NA	NA
ZNF529-AS1	NA	0.071788876	NA	NA
ZNF542P	NA	0.054881218	NA	NA
ZNF561-AS1	NA	0.017778456	NA	NA
ZNF594	NA	NA	0.01264041	0.018234355
ZNF624	NA	0.077057332	NA	NA
ZNF638	NA	NA	0.00942328	0.015718531
ZNF644	NA	NA	0.0493881	NA
ZNF652	NA	NA	0.03668899	NA
ZNF658	NA	0.071601863	NA	0.020900209
ZNF700	NA	NA	0.02120628	0.032809889
ZNF708	NA	NA	0.03239021	0.048174213
ZNF738	NA	0.002808402	NA	NA
ZNF740	NA	0.05885532	NA	NA
ZNF767P	NA	0.002867475	NA	NA
ZNF788	NA	0.008512627	NA	NA
ZNF83	NA	NA	0.003139755	0.005632207
ZRANB2	NA	NA	0.03334387	0.048174213
ZSCAN16-AS1	NA	0.078851258	NA	NA
ZUFSP	NA	NA	0.02208103	0.036594647
ZZZ3	NA	NA	0.02148309	0.036594647
